customer_id,city,loyalty_tier,last_purchase_date,recency_days,frequency,monetary_value,R_score,F_score,M_score,RFM_Score,Segment
2001.0,Tallinn,,2024-11-29,91,2,203.92000000000002,4,1,1,6,At Risk
2004.0,Tallinn,silver,2024-12-19,71,2,1198.56,4,1,4,9,Potential
2005.0,Tallinn,bronze,2024-10-03,148,4,959.5999999999999,3,4,3,10,Loyal
2006.0,Pärnu,,2023-11-09,477,1,327.06,1,1,1,3,Lost
2007.0,Pärnu,silver,2025-01-30,29,1,318.63,5,1,1,7,Potential
2008.0,Tartu,gold,2024-12-14,76,5,1294.32,4,4,4,12,Loyal
2009.0,Narva,silver,2024-07-19,224,3,2255.21,2,3,5,10,Loyal
2012.0,Võru,silver,2024-04-30,304,3,841.5,2,3,3,8,Potential
2013.0,Pärnu,,2024-10-06,145,2,364.20000000000005,3,1,2,6,At Risk
2014.0,Pärnu,,2023-12-26,430,5,1066.15,1,4,4,9,Potential
2015.0,Tartu,silver,2025-02-15,13,2,345.24,5,1,1,7,Potential
2016.0,Tartu,gold,2023-07-21,588,1,664.26,1,1,3,5,At Risk
2017.0,Viljandi,silver,2024-02-08,386,4,904.65,1,4,3,8,Potential
2018.0,Paide,gold,2024-07-21,222,3,1281.17,2,3,4,9,Potential
2019.0,Tallinn,bronze,2024-06-26,247,5,1653.15,2,4,5,11,Loyal
2020.0,Paide,silver,2024-11-23,97,3,923.9,4,3,3,10,Loyal
2022.0,Rakvere,gold,2024-08-18,194,5,814.1700000000001,3,4,3,10,Loyal
2023.0,Tallinn,,2024-01-27,398,1,583.71,1,1,2,4,At Risk
2024.0,Valga,bronze,2025-01-27,32,2,345.93,5,1,1,7,Potential
2025.0,Tallinn,,2024-12-20,70,6,1804.79,4,5,5,14,VIP Champions
2026.0,Tallinn,,2024-12-07,83,7,1933.66,4,5,5,14,VIP Champions
2027.0,Tallinn,gold,2024-12-25,65,4,1357.05,4,4,4,12,Loyal
2028.0,Tallinn,gold,2024-11-13,107,3,496.83000000000004,4,3,2,9,Potential
2029.0,Kuressaare,,2024-05-26,278,3,1888.0600000000002,2,3,5,10,Loyal
2030.0,Tartu,silver,2024-09-21,160,2,2391.13,3,1,5,9,Potential
2031.0,Narva,gold,2024-11-05,115,6,2052.0499999999997,4,5,5,14,VIP Champions
2032.0,Tallinn,bronze,2024-11-03,117,1,215.58,4,1,1,6,At Risk
2033.0,Tallinn,,2024-10-11,140,3,950.18,3,3,3,9,Potential
2034.0,Tallinn,,2024-11-16,104,5,1431.18,4,4,5,13,VIP Champions
2035.0,Viljandi,silver,2024-07-02,241,3,1481.19,2,3,5,10,Loyal
2036.0,Tartu,gold,2024-11-10,110,2,571.48,4,1,2,7,Potential
